Swiss food composition database – Generic foods V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyms,Category,Density,Matrix unit,"Energy, kilojoules (kJ)",Derivation of value,Source,"Energy, kilocalories (kcal)",Derivation of value,Source,"Fat, total (g)",Derivation of value,Source,"Fatty acids, saturated (g)",Derivation of value,Source,"Fatty acids, monounsaturated (g)",Derivation of value,Source,"Fatty acids, polyunsaturated (g)",Derivation of value,Source,Cholesterol (mg),Derivation of value,Source,"Carbohydrates, available (g)",Derivation of value,Source,Sugars (g),Derivation of value,Source,Starch (g),Derivation of value,Source,Dietary fibres (g),Derivation of value,Source,Protein (g),Derivation of value,Source,Salt (NaCl) (g),Derivation of value,Source,Alcohol (g),Derivation of value,Source,Wasser (g),Derivation of value,Source,"Vitamin A activity, RE (µg-RE)",Derivation of value,Source,"Vitamin A activity, RAE (µg-RE)",Derivation of value,Source,All-trans retinol equivalents (µg-RE),Derivation of value,Source,Beta- carotene activity (µg-BCE),Derivation of value,Source,Beta-carotene (µg),Derivation of value,Source,Vitamin B1 (thiamine) (mg),Derivation of value,Source,Vitamin B2 (riboflavin) (mg),Derivation of value,Source,Vitamin B6 (pyridoxine) (mg),Derivation of value,Source,Vitamin B12 (cobalamin) (µg),Derivation of value,Source,Niacin (mg),Derivation of value,Source,Folate (µg),Derivation of value,Source,Panthotenic acid (mg),Derivation of value,Source,Vitamin C (ascorbic acid) (mg),Derivation of value,Source,Vitamin D (calciferol) (µg),Derivation of value,Source,Vitamin E activity (mg-ATE),Derivation of value,Source,Potassium (K) (mg),Derivation of value,Source,Sodium (Na) (mg),Derivation of value,Source,Chloride (Cl) (mg),Derivation of value,Source,Calcium (Ca) (mg),Derivation of value,Source,Magnesium (Mg) (mg),Derivation of value,Source,Phosphorus (P) (mg),Derivation of value,Source,Iron (Fe) (mg),Derivation of value,Source,Iodide (I) (µg),Derivation of value,Source,Zinc (Zn) (mg),Derivation of value,Source,Selenium (Se) (µg),Derivation of value,Source,Record has changed
553,3894,1001074,"Appenzeller, at least 45% fidm",,Milk and dairy products/Hard cheese,,per 100g edible portion,1590,Automated calculation,,384,Automated calculation,,31.7,-,177,19,-,177,7.4,-,177,1.5,-,177,95,-,177,0,Estimation,1408,0,Estimation,1408,0,-,22,0,-,22,24.3,Estimation,1662,1.6,Automated calculation,,0,-,22,39.6,-,177,382,Automated calculation,,366,Automated calculation,,350,-,8,190,Estimation,51,190,-,8,0.04,-,35,0.36,-,35;1659,0.07,-,35,1.06,-,35;1659,0.1,-,35,15,-,35,0.33,-,35;1659,tr.,-,22,0.5,-,35;1659,0.95,-,35,82,-,177,620,-,177,960,-,177,740,-,177,29,-,177,540,-,177,0.3,-,177,8.4,-,1333;1399,4,-,177,n.d.,,,Nein
378,4480,1000841,"Apple, fresh",,Fruit/Fresh fruit,,per 100g edible portion,232,Automated calculation,,55,Automated calculation,,0.3,-,43,0.1,-,43,0,-,43,0.1,-,43,0,-,43,11.7,-,43,11.6,-,43,0.1,-,43,2.1,-,43,0.3,-,43,0,Automated calculation,,0,-,43,85,-,43,4,Automated calculation,,2,Automated calculation,,0,Estimation,51,26,Estimation,51,20,-,121,0.02,-,43;1670,0.01,-,43;1670,0.04,-,43;1670,0,-,43,0.09,-,43;1670,13,-,43,0.09,-,43;1670,7,-,43;1670,0,-,43,0.5,-,43,120,-,43,4,-,43,2.2,-,36,5,-,43,4,-,43,9,-,43,0.2,-,43,0.8,-,36,0.1,-,36,n.d.,,,Nein
568,3712,1001093,Apple juice,,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,1,per 100ml food volume,190,Automated calculation,,45,Automated calculation,,0.1,-,12,0,-,34,0,-,34,0.1,-,34,0,Estimation,51,10.8,-,22,10.3,-,22,0,-,43,tr.,-,43,0.1,-,12,0,Automated calculation,,0,-,22,87.7,-,22,0,Automated calculation,,0,Automated calculation,,0,Estimation,51,0,-,85,0,Estimation,85,0.02,-,22,0.02,-,22,0.04,-,22,0,-,43,0.16,-,22,1,-,43,0.07,-,22,7.4,-,9,0,-,22,0.51,-,9,120,-,22,2.3,-,22,2,-,9,6.7,-,22,5.5,-,22,8,-,22,0.2,-,22,2,-,9,0.1,-,9,n.d.,,,Nein
435,3822,1000913,"Apple, peeled, dried",,Fruit/Dried fruit,,per 100g edible portion,1250,Automated calculation,,295,Automated calculation,,2,-,9,0.5,-,9,0.1,-,9,1,-,9,0,-,9,63.2,-,9,60,-,9,0.1,-,9,9.2,-,9,1.5,-,9,0,Automated calculation,,0,-,9,20,-,9,0,Automated calculation,,0,Automated calculation,,0,Estimation,51,0,Estimation,51,0,-,156,0.09,-,9,0.06,-,9,0.15,-,9,0,-,9,0.31,-,9,20,-,9,0.01,-,9,12.2,-,9,0,-,9,1.84,-,9,520,-,9,15,-,9,10,-,9,15,-,9,31,-,9,56,-,9,2,-,9,10,-,9,0.6,-,9,n.d.,,,Nein
1480,,,"Apple pie, baked (with cake dough)",,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",,per 100g edible portion,604,Automated calculation,,144,Automated calculation,,6.1,Calculation on the basis of ingredients,,3.4,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,37,Calculation on the basis of ingredients,,18.7,Calculation on the basis of ingredients,,9.5,Calculation on the basis of ingredients,,9.1,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,70.8,Automated calculation,,65,Automated calculation,,62,Automated calculation,,58,Calculation on the basis of ingredients,,42,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,8.1,Calculation on the basis of ingredients,,0.22,Calculation on the basis of ingredients,,3.8,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,91,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,8.5,Calculation on the basis of ingredients,,41,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Nein
1479,,,"Apple pie, baked (with puff pastry)",,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",,per 100g edible portion,592,Automated calculation,,141,Automated calculation,,7,Calculation on the basis of ingredients,,3.9,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,39,Calculation on the basis of ingredients,,16.5,Calculation on the basis of ingredients,,9.5,Calculation on the basis of ingredients,,6.9,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,72.6,Automated calculation,,74,Automated calculation,,71,Automated calculation,,67,Calculation on the basis of ingredients,,46,Calculation on the basis of ingredients,,37,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.14,Calculation on the basis of ingredients,,7.8,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,3.8,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.51,Calculation on the basis of ingredients,,110,Calculation on the basis of ingredients,,94,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,7.5,Calculation on the basis of ingredients,,38,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Nein
627,4343,1001174,"Applesauce, sweetened, canned",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,379,Automated calculation,,89,Automated calculation,,0.3,-,22,0.1,-,22,0,-,22,0.1,-,22,0,-,22,20.5,-,22,20.4,-,22,0.1,-,22,1.9,-,22,0.3,-,22,0,Automated calculation,,0,-,22,76.5,-,22,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,0.02,-,22,0.02,-,22,0.04,-,22,0,-,22,0.08,-,22,5.9,-,22,0.08,-,22,2.3,-,22,0,-,22,0.34,-,22,97,-,22,3.6,-,22,2.1,-,22,4.4,-,22,3.6,-,22,8.1,-,22,0.2,-,22,0.7,-,22,0.1,-,22,n.d.,,,Nein
628,4344,1001175,"Applesauce, unsweetened, canned",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,232,Automated calculation,,55,Automated calculation,,0.3,-,22,0.1,-,22,0,-,22,0.1,-,22,0,-,22,11.7,-,22,11.6,-,22,0.1,-,22,2.1,-,22,0.3,-,22,0,Automated calculation,,0,-,22,85,-,22,n.d.,,,n.d.,,,n.d.,,,n.d.,,,n.d.,,,0.02,-,22,0.02,-,22,0.05,-,22,0,-,22,0.09,-,22,6.5,-,22,0.09,-,22,2.5,-,22,0,-,22,0.43,-,22,110,-,22,4,-,22,2.2,-,22,4.8,-,22,4,-,22,9,-,22,0.2,-,22,0.8,-,22,0.1,-,22,n.d.,,,Nein
1049,3775,,"Apple, stewed, drained (without addition of sugar)",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,305,Automated calculation,,72,Automated calculation,,0.4,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,15.4,Calculation on the basis of ingredients,,15.3,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,81.1,Automated calculation,,6,Automated calculation,,3,Automated calculation,,0,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.01,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,6.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.66,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,5.3,Calculation on the basis of ingredients,,2.9,Calculation on the basis of ingredients,,6.3,Calculation on the basis of ingredients,,5.3,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,n.d.,,,Ja
469,4047,1000952,"Apricot, dried",,Fruit/Dried fruit,,per 100g edible portion,1160,Automated calculation,,275,Automated calculation,,0.5,-,36,tr.,-,43,0.3,-,43,0.1,-,43,0,-,43,47.9,-,36,43.3,-,36,0,-,36,17.7,-,36,5,-,36,0,Automated calculation,,0,-,43,17.6,-,36,917,Automated calculation,,458,Automated calculation,,0,Estimation,51,5500,Estimation,51,5500,-,124,0.01,-,43,0.16,-,43,0.26,-,43,0,-,43,3.2,-,43,13,-,43,0.7,-,43,8,-,43,0,-,43,4.5,-,43,1370,-,36,11,-,36,5.4,-,36,82,-,36,50,-,36,110,-,36,5.2,-,43,2.7,-,36,0.4,-,36,n.d.,,,Nein
